RateID,Pressure,SPM,Gal_Stroke,GPM,BPM,DC,DP,Raw
1,4325,134,2.63,351.76,8.38,468.11,340.61,Drilling/Circ Rate 1 4325 PSl @ 134 SPM 2.63 Gal/Stoke 351.76 GPM 8.38 BPM 468.11 DC 340.61 DP
2,4475,134,2.63,351.76,8.38,468.11,340.61,Drilling/Circ Rate 2 4475 PSl @ 134 SPM 2.63 Gal/Stoke 351.76 GPM 8.38 BPM 468.11 DC 340.61 DP
