Number,Model,Type,HHP,Efficiency,Stroke (in),Liner (in),P-Rating (psi),P-Limit (psi),SPM Rating,SPM Limit
1,BOMCO,TRIPLEX,1600,95,12.000,475,7500,7100,120,110
2,BOMCO,TRIPLEX,1600,95,12.000,475,7500,7100,120,110
3,BOMCO,TRIPLEX,1600,95,12.000,475,7500,7100,120,110
